id,expression,meaning,example_en,example_ja
684,tear into,ボロクソに言う,He tore into me.,彼にボロクソ言われた。
685,that checks out,辻褄が合う,That checks out.,辻褄が合う。
686,throw you off,調子を狂わせる,That threw me off.,それで調子が狂った。
687,tight spot,苦しい状況,I’m in a tight spot.,苦しい状況だ。
688,tip off,密告する,Someone tipped them off.,誰かが密告した。
689,turn the tables,形勢逆転,We turned the tables.,形勢逆転した。
690,understatement,控えめ表現,That’s an understatement.,控えめすぎる表現だ。
691,upside,利点,What’s the upside?,利点は？
692,walk away,立ち去る,He walked away.,彼は立ち去った。
693,walk on eggshells,気を遣う,I’m walking on eggshells.,気を遣っている。
694,watch your back,用心する,Watch your back.,用心して。
695,wear you out,疲れさせる,That wore me out.,それで疲れた。
696,wing it,アドリブでやる,Let’s wing it.,アドリブでいこう。
697,work around,回避策を取る,We worked around it.,回避した。
698,zero in on,焦点を当てる,Let’s zero in on the issue.,問題に焦点を当てよう。
699,zip it,黙れ,Zip it.,黙れ。
700,zone in,集中する,I need to zone in.,集中しないと。
701,as long as,〜する限り,As long as you try.,やる限りは。
702,at the end of the day,結局,At the end of the day, it’s fine.,結局問題ない。
703,back in the day,昔は,Back in the day, things were simpler.,昔はもっと単純だった。
704,better off,〜の方がいい,You’re better off waiting.,待つ方がいい。
705,can’t be bothered,やる気が出ない,I can’t be bothered.,やる気が出ない。
706,cut your losses,損切りする,Time to cut your losses.,損切り時だ。
707,dead serious,本気,I'm dead serious.,本気だよ。
708,down bad,かなり落ちてる,He’s down bad.,彼はかなり落ちてる。
709,good call,いい判断,Good call.,いい判断。
710,hard pass,絶対無理,Hard pass.,絶対無理。
711,hold your horses,落ち着け,Hold your horses.,落ち着け。
712,keep it real,現実的にいく,Keep it real.,現実的にいこう。
713,make it count,無駄にしない,Make it count.,無駄にするな。
714,not gonna lie,正直に言うと,Not gonna lie, I’m tired.,正直疲れてる。
715,one of those days,ツイてない日,It’s one of those days.,ツイてない日だ。
716,over my head,理解不能,It’s over my head.,理解できない。
717,pretty wild,結構すごい,That’s pretty wild.,結構すごい。
718,real quick,すぐに,Real quick, can we talk?,すぐに話せる？
719,say less,了解, Say less.,了解。
720,shady,怪しい,That place looks shady.,あの場所怪しい。
721,somehow,なんとか,Somehow we made it.,なんとかやれた。
722,that’s on you,それは君の責任,That’s on you.,それは君の責任。
723,too close for comfort,ヒヤッとした,That was too close for comfort.,ヒヤッとした。
724,trust me,信じて,Trust me.,信じて。
725,what a mess,めちゃくちゃ,What a mess.,めちゃくちゃだ。
726,worth a shot,試す価値あり,It’s worth a shot.,試す価値ある。
727,you do you,好きにして,You do you.,好きにして。
728,you’re telling me,ほんとそれ,You’re telling me.,ほんとそれ。
729,be my guest,どうぞ,Be my guest.,どうぞ。
730,beat around the bush,遠回しに言う,Stop beating around the bush.,遠回しに言うな。
731,bite the bullet,腹を括る,I’ll bite the bullet.,腹を括る。
732,burn bridges,関係を壊す,Don’t burn bridges.,関係を壊すな。
733,call it a night,今日は終わり,Let’s call it a night.,今日は終わりにしよう。
734,can’t complain,悪くない,Can’t complain.,悪くない。
735,catch a break,ツイてる,Finally caught a break.,やっとツイた。
736,cut me some slack,大目に見て,Cut me some slack.,大目に見て。
737,get your money’s worth,元を取る,Get your money’s worth.,元を取れ。
738,give me a sec,ちょっと待って,Gimme a sec.,ちょっと待って。
739,go with the flow,流れに任せる,Just go with the flow.,流れに任せよう。
740,have a blast,最高に楽しむ,We had a blast.,めちゃ楽しかった。
741,hit me where it hurts,痛いところを突く,That hit me where it hurts.,痛いところを突かれた。
742,keep me posted,逐一教えて,Keep me posted.,逐一教えて。
743,make a big deal,大ごとにする,Don’t make a big deal out of it.,大ごとにしないで。
744,make up your mind,決める,Make up your mind.,決めて。
745,not my thing,自分向きじゃない,It’s not my thing.,自分向きじゃない。
746,on the bright side,良い面では,On the bright side, we learned.,良い面では学べた。
747,over and done with,終わった,It’s over and done with.,もう終わった。
748,put your mind at ease,安心させる,That should put your mind at ease.,それで安心できるはず。
749,stick to your guns,信念を貫く,Stick to your guns.,信念を貫け。
750,take it with a grain of salt,話半分で聞く,Take it with a grain of salt.,話半分で聞いて。
751,tell me about it,それな,Tell me about it.,それな。
752,that’s the spirit,その調子,That’s the spirit.,その調子。
753,there you go,ほらね,There you go.,ほらね。
754,what’s the deal,どういうこと,What’s the deal?,どういうこと？
755,who knows,誰にも分からない,Who knows.,分からない。
756,work your way up,成り上がる,He worked his way up.,彼は成り上がった。
757,wrap your head around,理解する,Can you wrap your head around it?,理解できる？
758,be on the same page,認識一致,We’re on the same page.,認識一致だ。
759,break it down,分かりやすくする,Break it down for me.,分かりやすくして。
760,bring it on,かかってこい,Bring it on.,かかってこい。
761,come across,偶然見つける,I came across it online.,ネットで偶然見つけた。
762,do the trick,効果がある,That should do the trick.,それで効果あるはず。
763,drop it,やめろ,Drop it.,やめろ。
764,go off on,キレる,He went off on me.,彼は私にキレた。
765,keep an eye out,注意して探す,Keep an eye out.,注意して見て。
766,lay it out,はっきり説明する,Lay it out for me.,はっきり説明して。
767,let’s be real,正直に言おう,Let’s be real.,正直に言おう。
768,make it up to,埋め合わせる,I’ll make it up to you.,埋め合わせるよ。
769,not worth it,割に合わない,It’s not worth it.,割に合わない。
770,pass on,断る,I’ll pass on that.,それは遠慮する。
771,put it together,まとめる,Let’s put it together.,まとめよう。
772,run the numbers,計算する,I’ll run the numbers.,計算する。
773,smooth it over,丸く収める,He smoothed it over.,彼は丸く収めた。
774,take a hit,打撃を受ける,We took a hit.,打撃を受けた。
775,that’s the deal,それが条件,That’s the deal.,それが条件。
776,throw it out there,提案する,Just throwing it out there.,一応提案だけ。
777,try it on,試す,Try it on.,試してみて。
778,turn it around,立て直す,We turned it around.,立て直した。
779,watch it,気をつけろ,Watch it.,気をつけろ。
780,work it out,解決する,We’ll work it out.,解決しよう。
781,at a glance,一見して,At a glance, it’s fine.,一見して問題ない。
782,behind your back,陰で,He talked behind my back.,陰で悪口を言った。
783,by all means,ぜひ,By all means.,ぜひ。
784,for the most part,大体は,For the most part, yes.,大体はそう。
785,in no time,すぐに,We’ll be there in no time.,すぐ着く。
786,in the middle of,途中で,I’m in the middle of something.,今手が離せない。
787,just my luck,ついてない,Just my luck.,ついてない。
788,more than enough,十分すぎる,That’s more than enough.,十分すぎる。
789,not even close,全然違う,Not even close.,全然違う。
790,one at a time,一つずつ,One at a time.,一つずつ。
791,out of the blue,突然,Out of the blue, he called.,突然彼が電話した。
792,so far so good,順調,So far so good.,順調。
793,up and running,稼働中,It’s up and running.,稼働してる。
794,what a relief,よかった,What a relief.,よかった。
795,without a doubt,間違いなく,Without a doubt.,間違いなく。
796,with that in mind,それを踏まえて,With that in mind, let’s start.,それを踏まえて始めよう。
797,you name it,何でも,Food, drinks—you name it.,食べ物も飲み物も何でもある。
798,you’re all set,準備完了,You’re all set.,準備完了。
799,zero chance,可能性ゼロ,Zero chance.,可能性ゼロ。
800,zip it,黙れ,Zip it.,黙れ。
