id,expression,meaning,example_en,example_ja
241,decision,決断,Tough decision.,難しい決断だ。
242,direction,方向性,We need direction.,方向性が必要だ。
243,effort,努力,It takes effort.,努力が必要。
244,energy,エネルギー,I don’t have the energy.,その元気がない。
245,expectation,期待,Lower expectations.,期待を下げよう。
246,feedback,フィードバック,Thanks for the feedback.,意見ありがとう。
247,focus,集中,Stay focused.,集中して。
248,growth,成長,Personal growth matters.,成長は大事。
249,habit,習慣,Break bad habits.,悪い習慣を断とう。
250,impact,影響,It had an impact.,影響があった。
251,kind of a lot,結構多い,That’s kind of a lot.,結構多いね。
252,a bit tricky,少し難しい,It’s a bit tricky.,少し難しい。
253,no big deal,大したことない,No big deal.,大したことないよ。
254,pretty sure,かなり確信,I’m pretty sure.,かなり確信してる。
255,so far,今のところ,So far, so good.,今のところ順調。
256,at least,少なくとも,At least try.,少なくとも試して。
257,right away,すぐに,I’ll do it right away.,すぐやる。
258,in advance,事前に,Thanks in advance.,事前にありがとう。
259,for now,今のところ,That’s fine for now.,今はそれでいい。
260,in the end,結局,In the end, it worked.,結局うまくいった。
261,kind of weird,ちょっと変,That’s kind of weird.,ちょっと変だね。
262,on purpose,わざと,Did you do it on purpose?,わざと？
263,by accident,偶然,It happened by accident.,偶然起きた。
264,all of a sudden,突然,It stopped all of a sudden.,突然止まった。
265,in general,一般的に,In general, yes.,一般的にはそう。
266,more or less,だいたい,More or less done.,だいたい終わり。
267,once in a while,たまに,Once in a while.,たまにね。
268,right now,今すぐ,I need it right now.,今すぐ必要。
269,sooner or later,遅かれ早かれ,It’ll happen sooner or later.,いずれ起こる。
270,up to you,任せる,It’s up to you.,君次第。
271,awesome job,よくやった,Awesome job!,よくやった！
272,for real,マジで,For real?,マジで？
273,no way,ありえない,No way!,ありえない。
274,I get it,分かる,I get it now.,今分かった。
275,fair enough,それも一理ある,Fair enough.,それも一理ある。
276,sounds good,いいね,Sounds good to me.,いいね。
277,that works,それでOK,That works.,それでOK。
278,I’m down,賛成,I’m down for that.,それ賛成。
279,what’s going on,どうした,What’s going on?,どうした？
280,to be honest,正直言うと,To be honest, I’m tired.,正直疲れてる。
281,low-key,控えめに,It was low-key fun.,控えめに楽しかった。
282,high-key,ガチで,I high-key loved it.,ガチで気に入った。
283,straight up,正直に,Straight up, no.,正直に言って無理。
284,legit,本物の,That’s legit.,それ本物。
285,on point,的確,Your comment was on point.,そのコメント的確。
286,whatever,どうでもいい,Whatever.,どうでもいい。
287,seriously,マジで,Seriously?,マジで？
288,chill out,落ち着く,Chill out.,落ち着いて。
289,hit me up,連絡して,Hit me up later.,後で連絡して。
290,hang tight,待ってて,Hang tight.,待ってて。
291,kind of a mess,少し混乱,It’s kind of a mess.,少し混乱してる。
292,real quick,すぐに,Real quick question.,ちょっと質問。
293,no rush,急がないで,No rush.,急がなくていい。
294,you bet,もちろん,You bet.,もちろん。
295,close enough,だいたいOK,Close enough.,だいたいOK。
296,not bad,悪くない,Not bad at all.,悪くない。
297,way better,かなり良い,Way better now.,今はかなり良い。
298,a bit off,少し変,Something feels off.,何か変だ。
299,deal breaker,致命的条件,That’s a deal breaker.,それは致命的だ。
300,worth it,価値がある,It’s worth it.,その価値はある。
301,make sense of,理解する,I’m trying to make sense of it.,理解しようとしている。
302,go for it,やってみな,Go for it.,やってみな。
303,call it a day,今日は終わり,Let’s call it a day.,今日は終わりにしよう。
304,come up with,考え出す,She came up with an idea.,彼女が案を考えた。
305,check in,様子を見る,I’ll check in later.,後で様子を見る。
306,fall apart,崩れる,Everything fell apart.,全部崩れた。
307,hang in there,踏ん張れ,Hang in there.,踏ん張れ。
308,play it safe,無難に行く,I’ll play it safe.,無難に行く。
309,push back,反論する,He pushed back.,彼は反論した。
310,step back,一歩引く,Let’s step back.,一歩引こう。
311,take it easy,気楽に,Take it easy.,気楽にね。
312,all set,準備完了,I’m all set.,準備完了。
313,not sure yet,まだ分からない,I’m not sure yet.,まだ分からない。
314,by the way,ところで,By the way…,ところで。
315,in a rush,急いでいる,I’m in a rush.,急いでいる。
316,make it up,埋め合わせる,I’ll make it up to you.,埋め合わせるよ。
317,sort it out,解決する,We’ll sort it out.,解決しよう。
318,totally,完全に,Totally agree.,完全に同意。
319,that said,とはいえ,That said, I agree.,とはいえ同意する。
320,feel free,遠慮なく,Feel free to ask.,遠慮なく聞いて。
321,give it a shot,試す,Give it a shot.,試してみて。
322,no kidding,冗談でしょ,No kidding?,冗談でしょ。
323,out of hand,手に負えない,It got out of hand.,手に負えなくなった。
324,on my end,こちら側では,On my end, it’s fine.,こちらでは問題ない。
325,right on,その通り,Right on.,その通り。
326,so far so good,順調,So far so good.,今のところ順調。
327,that’s on me,私のミス,That’s on me.,私のミスだ。
328,touch base,連絡取る,Let’s touch base.,連絡取ろう。
329,whatever works,何でもOK,Whatever works.,何でもOK。
330,a bit much,やりすぎ,That’s a bit much.,やりすぎだ。
331,in the long run,長期的に,In the long run, it helps.,長期的には役立つ。
332,get the hang of,コツを掴む,I got the hang of it.,コツを掴んだ。
333,worth checking out,見る価値あり,It’s worth checking out.,見る価値ある。
334,kind of nice,意外と良い,That’s kind of nice.,意外といい。
335,on the fence,迷っている,I’m on the fence.,迷っている。
336,not really,あまり〜ない,Not really.,あまり。
337,a heads-up,事前連絡,Thanks for the heads-up.,事前連絡ありがとう。
338,come on,まじで？/やめて,Come on.,まじで？
339,deal with it,受け入れる,Deal with it.,受け入れろ。
340,go-to,定番の,This is my go-to place.,ここが定番。
341,in the meantime,その間に,In the meantime, wait.,その間待って。
342,kind of tempting,少し魅力的,That’s tempting.,少し魅力的。
343,make a call,判断する,I need to make a call.,判断が必要だ。
344,no pressure,無理しないで,No pressure.,無理しないで。
345,out of nowhere,突然,It came out of nowhere.,突然だった。
346,pretty chill,かなり落ち着く,It was pretty chill.,かなり落ち着いてた。
347,real talk,本音の話,Real talk.,本音の話。
348,sort of fine,まあまあ,It’s sort of fine.,まあまあ。
349,way too,〜すぎる,That’s way too much.,多すぎる。
350,you’re good,大丈夫,You’re good.,大丈夫。
351,as usual,いつも通り,As usual.,いつも通り。
352,at this point,現時点では,At this point, no.,現時点では無理。
353,big picture,全体像,Look at the big picture.,全体を見て。
354,come through,うまくやる,He came through.,彼はやってくれた。
355,cut it out,やめろ,Cut it out.,やめろ。
356,feel off,違和感,Something feels off.,何か違和感。
357,get real,現実見ろ,Get real.,現実見ろ。
358,hold up,待って,Hold up.,待って。
359,in my book,私的には,In my book, it’s fine.,私的にはOK。
360,kind of wild,結構すごい,That’s wild.,結構すごい。
361,make room,余地を作る,Make room for it.,余地を作って。
362,no worries,気にしないで,No worries.,気にしないで。
363,on track,順調,We’re on track.,順調だ。
364,real deal,本物,He’s the real deal.,彼は本物。
365,shut down,停止する,It shut down.,停止した。
366,so-called,いわゆる,The so-called expert.,いわゆる専門家。
367,stay tuned,続報待って,Stay tuned.,続報待って。
368,take a break,休憩する,Take a break.,休憩しよう。
369,up in the air,未定,It’s up in the air.,未定だ。
370,way ahead,先行して,We’re way ahead.,かなり先行。
371,what if,もし〜なら,What if it fails?,もし失敗したら？
372,you name it,何でも,You name it.,何でも。
373,a long shot,可能性低い,It’s a long shot.,可能性低い。
374,all good,問題なし,All good.,問題なし。
375,at odds,対立して,They’re at odds.,対立している。
376,back on track,立て直す,We’re back on track.,立て直した。
377,down the road,将来的に,Down the road, maybe.,将来的にね。
378,good to go,準備OK,I’m good to go.,準備OK。
379,in short,要するに,In short, no.,要するに無理。
380,keep in mind,覚えておく,Keep that in mind.,覚えておいて。
381,make progress,進展する,We’re making progress.,進展している。
382,no doubt,間違いない,No doubt.,間違いない。
383,on second thought,考え直す,On second thought…,考え直して。
384,point taken,理解した,Point taken.,分かった。
385,so be it,仕方ない,So be it.,仕方ない。
386,that’s fair,それは公平,That’s fair.,それは公平だ。
387,up for it,やる気ある,I’m up for it.,やる気ある。
388,what matters,重要なのは,What matters is…,重要なのは。
389,you never know,分からない,You never know.,分からない。
390,a step ahead,一歩先,We’re a step ahead.,一歩先だ。
391,all things considered,総合的に見て,All things considered, yes.,総合的に見てOK。
392,come a long way,大きく進歩,You’ve come a long way.,大きく成長した。
393,face the facts,現実を見る,Face the facts.,現実を見ろ。
394,get back on,再開する,Let’s get back on it.,再開しよう。
395,in control,主導権,Stay in control.,主導権を持て。
396,no harm done,問題なし,No harm done.,問題なし。
397,over the top,やりすぎ,That was over the top.,やりすぎだ。
398,right call,正しい判断,That was the right call.,正しい判断だった。
399,sooner than expected,予想より早く,It ended sooner than expected.,予想より早く終わった。
400,worth a try,試す価値あり,It’s worth a try.,試す価値ある。
