id,expression,meaning,example_en,example_ja
836,flex,見せびらかす,He’s just flexing.,彼は見せびらかしてるだけ。
837,fluke,まぐれ,That win was a fluke.,あの勝ちはまぐれだ。
838,freeze up,固まる,I froze up.,固まった。
839,gassed,疲れた,I’m gassed.,疲れた。
840,get a kick out of,楽しむ,I get a kick out of it.,それが楽しい。
841,get on someone’s nerves,癇に障る,It gets on my nerves.,癇に障る。
842,get the vibe,雰囲気を掴む,Do you get the vibe?,雰囲気掴める？
843,go blank,頭が真っ白,I went blank.,頭が真っ白になった。
844,go-to,定番,This is my go-to snack.,これが定番のおやつ。
845,grab,軽く食べる,Let’s grab lunch.,昼食でも軽く行こう。
846,green light,許可,We got the green light.,許可が出た。
847,hands down,文句なしで,Hands down the best.,文句なしで一番。
848,headcount,人数,What’s the headcount?,人数は？
849,hit different,違って刺さる,That movie hit different.,あの映画は刺さった。
850,hyped,期待で盛り上がる,I’m so hyped.,めっちゃ楽しみ。
851,in a heartbeat,即答で,In a heartbeat, yes.,即答でOK。
852,in the moment,その場では,In the moment, I panicked.,その場では焦った。
853,keep it low-key,控えめにする,Let’s keep it low-key.,控えめにしよう。
854,kill time,時間を潰す,I’m just killing time.,時間潰してるだけ。
855,late to the party,今さら,You’re late to the party.,今さらだね。
856,lay it on thick,大げさに言う,He laid it on thick.,彼は大げさに言った。
857,let it sink in,噛みしめる,Let it sink in.,噛みしめて。
858,link up,合流する,Let’s link up later.,後で合流しよう。
859,lose track,分からなくなる,I lost track of time.,時間が分からなくなった。
860,make a move,行動する,It’s time to make a move.,動く時だ。
861,make sense,納得できる,That makes sense.,納得できる。
862,mood,気分,Same mood.,同じ気分。
863,mutual,共通の,We have mutual friends.,共通の友達がいる。
864,need a minute,少し時間が必要,I need a minute.,ちょっと時間ちょうだい。
865,no cap,マジで,No cap, it’s amazing.,マジで凄い。
866,no offense,悪気はない,No offense, but…,悪気はないけど…。
867,on the spot,その場で,He decided on the spot.,その場で決めた。
868,panic,焦る,Don’t panic.,焦らないで。
869,passive-aggressive,嫌味っぽい,That sounded passive-aggressive.,嫌味っぽく聞こえた。
870,peak,ピーク,That was peak comedy.,あれは笑いのピークだった。
871,picky,こだわりが強い,He’s picky.,彼はこだわりが強い。
872,plot twist,どんでん返し,What a plot twist.,なんてどんでん返し。
873,props,称賛,Props to you.,君すごい。
874,put me on,教えて,Put me on that artist.,そのアーティスト教えて。
875,randomly,たまたま,Randomly, it worked.,たまたまうまくいった。
876,ratio,圧勝する,He got ratioed.,彼は圧倒された。
877,real one,本物の友達,He’s a real one.,彼は本物の友達だ。
878,refresh,気分転換,A walk will refresh you.,散歩で気分転換できる。
879,repeat,もう一回,Repeat that?,もう一回言って？
880,rest up,休む,Rest up.,しっかり休んで。
881,ride,送る,Can you give me a ride?,車で送ってくれる？
882,rule,最高,That rules.,それ最高。
883,save it,それはいい,Save it.,それはいい。
884,shook,びっくりした,I’m shook.,びっくりした。
885,shoot,了解,Shoot, what’s up?,了解、どうした？
886,simp,盲目的に追う,He’s simping hard.,彼は盲目的に追ってる。
887,slammed,めちゃ忙しい,I’m slammed today.,今日はめちゃ忙しい。
888,smooth,うまい,That was smooth.,うまかった。
889,spill,教えて,Spill.,教えて。
890,stoked,ワクワクしてる,I’m stoked.,ワクワクしてる。
891,sus,怪しい,That’s sus.,それ怪しい。
892,sweat it,気にする,Sweat it, you’ll be fine.,気にするな、大丈夫。
893,take a breather,一息つく,Take a breather.,一息つこう。
894,take your time,ゆっくりでいい,Take your time.,ゆっくりでいい。
895,that’s wild,それヤバい,That’s wild.,それヤバい。
896,throw shade,嫌味を言う,He threw shade.,彼は嫌味を言った。
897,tough luck,残念,Tough luck.,残念。
898,track record,実績,He has a good track record.,彼は実績がいい。
899,trigger,イラつかせる,That triggered me.,それでイラついた。
900,vouch,保証する,I can vouch for him.,彼のことは保証できる。
901,wack,微妙,That’s wack.,それ微妙。
902,walk me through,順に説明する,Walk me through it.,順に説明して。
903,warm up to,慣れて好きになる,She warmed up to it.,彼女は慣れて気に入った。
904,way to go,よくやった,Way to go!,よくやった！
905,what’s the move,どうする,What’s the move?,どうする？
906,worth a shot,試す価値あり,It’s worth a shot.,試す価値ある。
907,you’re on,決まり,You’re on.,決まりだ。
908,zero in,狙いを定める,Zero in on it.,そこに狙いを定めて。
909,zoom,急増する,Prices zoomed up.,価格が急増した。
910,all vibes,雰囲気重視,It’s all vibes.,雰囲気重視だ。
911,as if,ありえない,As if.,ありえない。
912,awkward silence,気まずい沈黙,That was awkward silence.,気まずい沈黙だった。
913,big yikes,大失敗,Big yikes.,大失敗だな。
914,can’t unsee,忘れられない,I can’t unsee that.,あれが忘れられない。
915,coming in hot,勢い強め,He’s coming in hot.,彼は勢い強めだ。
916,down for whatever,何でもOK,I’m down for whatever.,何でもOK。
917,extra,大げさ,He’s being extra.,彼は大げさだ。
918,glow up,垢抜ける,She had a glow up.,彼女は垢抜けた。
919,hard launch,正式公開,He hard-launched it.,正式に公開した。
920,hot take,辛口意見,That’s a hot take.,辛口意見だ。
921,main character energy,主役感,He has main character energy.,彼は主役感ある。
922,mic drop,決め台詞,Mic drop.,決め台詞だ。
923,mid,普通,The movie was mid.,映画は普通だった。
924,no shot,ありえない,No shot.,ありえない。
925,not it,それ違う,That’s not it.,それ違う。
926,one hundred percent,間違いなく,One hundred percent.,間違いなく。
927,plot armor,ご都合主義,That’s plot armor.,ご都合主義だ。
928,receipts,証拠,Show me the receipts.,証拠見せて。
929,rent-free,頭から離れない,It lives rent-free in my head.,頭から離れない。
930,same,同じ,Same.,同じ。
931,slaps,最高,This song slaps.,この曲最高。
932,soft launch,こっそり開始,They soft-launched it.,こっそり開始した。
933,stan,推す,I stan that.,それ推す。
934,touch grass,外出しろ,Go touch grass.,外出しろ。
935,understood,了解,Understood.,了解。
936,weird flex,謎自慢,Weird flex, but okay.,謎自慢だけどまあいい。
937,who asked,誰が聞いた,Who asked?,誰が聞いた。
938,yikes,やばい,Yikes.,やばい。
939,you’re cooking,いい線いってる,You’re cooking.,いい線いってる。
940,zero context,文脈ゼロ,That’s zero context.,文脈ゼロだ。
941,step into,踏み込む,Don’t step into that.,そこに踏み込むな。
942,walk it off,気にするな,Walk it off.,気にするな。
943,water under the bridge,過去のこと,It’s water under the bridge.,過去のことだ。
944,word,了解,Word.,了解。
945,wrap it up,終わらせる,Wrap it up.,終わらせよう。
946,write it off,諦める,Write it off.,諦めろ。
947,zone out,ぼーっとする,I zoned out for a minute.,一瞬ぼーっとしてた。
948,zone in,集中する,Time to zone in.,集中する時間だ。
949,a vibe,良い感じ,This place is a vibe.,この場所いい感じ。
950,all good,問題なし,All good.,問題なし。
951,asap,できるだけ早く,Send it ASAP.,できるだけ早く送って。
952,bet,了解,Bet.,了解。
953,busywork,無駄仕事,That’s busywork.,それ無駄仕事。
954,call it,終わりにする,Let’s call it.,終わりにしよう。
955,clap,称賛,Clap for that.,それ称賛。
956,crack up,爆笑する,I cracked up.,爆笑した。
957,deadass,ガチで,Deadass, I’m serious.,ガチで本気。
958,drop,公開する,They dropped a new track.,新曲を出した。
959,fall for,引っかかる,Don’t fall for it.,引っかかるな。
960,ghost,音信不通になる,He ghosted me.,彼は音信不通になった。
961,head out,出発する,I’m gonna head out.,そろそろ出る。
962,hold it down,任せろ,I’ll hold it down.,任せろ。
963,hook,ハマる,That beat has a hook.,そのビートはハマる。
964,keep me in the loop,共有して,Keep me in the loop.,共有して。
965,kill it,やり切る,You killed it.,やり切った。
966,lock in,集中する,Let’s lock in.,集中しよう。
967,make it make sense,意味が分からない,Make it make sense.,意味が分からない。
968,minutes,議事録,Send the minutes.,議事録送って。
969,nail it,完璧にやる,You nailed it.,完璧だった。
970,odds are,たぶん,Odds are, he’s late.,たぶん遅れる。
971,out of pocket,度が過ぎる,That was out of pocket.,それ度が過ぎる。
972,overhype,過剰に持ち上げる,Don’t overhype it.,持ち上げすぎるな。
973,plug,宣伝する,Let me plug my channel.,チャンネル宣伝させて。
974,pull up,来る,Pull up.,来て。
975,ran out,切れた,We ran out of coffee.,コーヒーが切れた。
976,realize,気づく,I just realized it.,今気づいた。
977,save it for later,後でにする,Save it for later.,後でにしよう。
978,shout-out,称賛,Shout-out to you.,君に称賛。
979,show love,応援する,Show some love.,応援して。
980,sleep on,見送る,I’ll sleep on it.,一晩考える。
981,stacked,豪華,The lineup is stacked.,メンツが豪華。
982,stick around,残る,Stick around.,少し残って。
983,take the hint,察する,Take the hint.,察して。
984,tap in,参加する,Tap in.,参加して。
985,that’s cap,嘘だ,That’s cap.,それ嘘。
986,that’s the vibe,それが良い,That’s the vibe.,それが良い。
987,that’s the tea,それが真相,That’s the tea.,それが真相。
988,this ain’t it,それは違う,This ain’t it.,それは違う。
989,throw hands,ケンカする,He was ready to throw hands.,彼はケンカする気だった。
990,too much,やりすぎ,That’s too much.,やりすぎ。
991,track,追跡する,I’ll track it.,追跡する。
992,unfollow,フォロー外す,I unfollowed him.,彼のフォロー外した。
993,vibe check,雰囲気チェック,Vibe check.,雰囲気チェック。
994,walk me through,順に説明する,Walk me through it.,順に説明して。
995,watch party,同時視聴,We did a watch party.,同時視聴した。
996,what’s good,調子どう,What’s good?,調子どう？
997,win,勝ち,That’s a win.,それは勝ち。
998,wrap-up,まとめ,Here’s the wrap-up.,まとめはこれ。
999,you’re set,準備OK,You’re set.,準備OK。
1000,zoom call,オンライン会議,We’re on a Zoom call.,Zoom会議中だ。
