id,expression,meaning,example_en,example_ja
101,hang out,遊ぶ,Let’s hang out.,遊ぼう。
102,check out,見てみる,Check it out.,見てみて。
103,look forward to,楽しみにする,I’m looking forward to it.,楽しみにしている。
104,show up,現れる,He didn’t show up.,彼は来なかった。
105,stay up,夜更かしする,I stayed up late.,夜更かしした。
106,wrap up,締める,Let’s wrap up.,締めよう。
107,miss out,逃す,I don’t want to miss out.,逃したくない。
108,make it,間に合う,I made it.,間に合った。
109,pass out,寝落ちする,I passed out.,寝落ちした。
110,hold on,待つ,Hold on.,待って。
111,cut back on,減らす,Cut back on sugar.,砂糖を減らす。
112,drop by,立ち寄る,I’ll drop by.,立ち寄るよ。
113,fill in,補足する,Let me fill you in.,補足するね。
114,get along,仲良くする,We get along.,仲がいい。
115,get back to,返事する,I’ll get back to you.,後で返事する。
116,go through,経験する,I went through a lot.,大変だった。
117,keep up,ついていく,I can’t keep up.,ついていけない。
118,let go,手放す,Let it go.,手放して。
119,open up,心を開く,He opened up.,彼は心を開いた。
120,pull off,やり遂げる,She pulled it off.,彼女はやり遂げた。
121,reach out,連絡する,I reached out.,連絡した。
122,settle down,落ち着く,He settled down.,彼は落ち着いた。
123,turn down,断る,I turned it down.,断った。
124,turn up,現れる,He turned up.,彼が現れた。
125,wait on,待つ,I’m waiting on it.,それを待っている。
126,wind down,落ち着く,Let’s wind down.,落ち着こう。
127,work on,取り組む,I’m working on it.,取り組んでいる。
128,zone out,ぼーっとする,I zoned out.,ぼーっとした。
129,approach,取り組み方,That approach works.,そのやり方でいける。
130,attitude,態度,Good attitude.,いい態度だ。
131,background,背景,What’s your background?,経歴は？
132,boundary,境界,Set boundaries.,境界線を引こう。
133,challenge,課題,It’s a challenge.,課題だ。
134,choice,選択,Your choice.,君の選択だ。
135,comfort zone,安心領域,Leave your comfort zone.,安心領域を出よう。
136,commitment,約束,Big commitment.,大きな約束だ。
137,consequence,結果,Face consequences.,結果を受け入れろ。
138,conversation,会話,Good conversation.,良い会話だ。
139,decision,決断,Tough decision.,難しい決断だ。
140,direction,方向性,Need direction.,方向性が必要。
141,effort,努力,It takes effort.,努力が必要。
142,energy,元気,I have no energy.,元気がない。
143,expectation,期待,Lower expectations.,期待を下げよう。
144,feedback,意見,Thanks for feedback.,意見ありがとう。
145,focus,集中,Stay focused.,集中して。
146,growth,成長,Personal growth.,個人の成長。
147,habit,習慣,Bad habit.,悪い習慣。
148,impact,影響,Big impact.,大きな影響。
149,kind of a lot,結構多い,That’s kind of a lot.,結構多いね。
150,a bit tricky,少し難しい,It’s tricky.,少し難しい。
151,no big deal,大したことない,No big deal.,大したことない。
152,pretty sure,かなり確信,I’m pretty sure.,かなり確信してる。
153,so far,今のところ,So far so good.,今のところ順調。
154,at least,少なくとも,At least try.,少なくとも試せ。
155,right away,すぐに,I’ll do it right away.,すぐやる。
156,in advance,事前に,Thanks in advance.,事前にありがとう。
157,for now,今のところ,That’s fine for now.,今はそれでいい。
158,in the end,結局,In the end, it worked.,結局うまくいった。
159,on purpose,わざと,Did it on purpose.,わざとやった。
160,by accident,偶然,By accident.,偶然だ。
161,all of a sudden,突然,All of a sudden, it stopped.,突然止まった。
162,in general,一般的に,In general, yes.,一般的にはそう。
163,more or less,だいたい,More or less done.,だいたい終わり。
164,once in a while,たまに,Once in a while.,たまに。
165,sooner or later,遅かれ早かれ,Sooner or later.,いずれ。
166,up to you,任せる,Up to you.,君次第。
167,for real,マジで,For real?,マジで？
168,no way,ありえない,No way!,ありえない。
169,I get it,分かる,I get it now.,今分かった。
170,fair enough,それも一理ある,Fair enough.,それも一理ある。
171,sounds good,いいね,Sounds good.,いいね。
172,that works,それでOK,That works.,それでOK。
173,I’m down,賛成,I’m down.,賛成。
174,what’s going on,どうした,What’s going on?,どうした？
175,to be honest,正直言うと,To be honest, I’m tired.,正直疲れた。
176,low-key,控えめに,Low-key fun.,控えめに楽しい。
177,high-key,ガチで,High-key excited.,ガチで楽しみ。
178,straight up,正直に,Straight up, no.,正直無理。
179,legit,本物,That’s legit.,それ本物。
180,on point,的確,That’s on point.,的確だ。
181,whatever,どうでもいい,Whatever.,どうでもいい。
182,seriously,マジで,Seriously?,マジで？
183,chill out,落ち着く,Chill out.,落ち着け。
184,hit me up,連絡して,Hit me up.,連絡して。
185,hang tight,待ってて,Hang tight.,待ってて。
186,real quick,すぐに,Real quick.,すぐに。
187,no rush,急がなくていい,No rush.,急がなくていい。
188,you bet,もちろん,You bet.,もちろん。
189,close enough,だいたいOK,Close enough.,だいたいOK。
190,not bad,悪くない,Not bad.,悪くない。
191,way better,かなり良い,Way better.,かなり良い。
192,a bit off,少し変,Feels off.,少し変だ。
193,deal breaker,致命的条件,That’s a deal breaker.,それは致命的。
194,worth it,価値がある,It’s worth it.,価値がある。
195,make sense of,理解する,Make sense of it.,理解する。
196,go for it,やってみな,Go for it.,やってみな。
197,call it a day,今日は終わり,Call it a day.,今日は終わり。
198,come up with,考え出す,Come up with an idea.,案を考える。
199,check in,様子を見る,Check in later.,後で様子見る。
200,fall apart,崩れる,It fell apart.,崩れた。
