id,expression,meaning,example_en,example_ja
584,down to business,本題に入る,Let’s get down to business.,本題に入ろう。
585,get the short end,割を食う,He got the short end.,彼は損をした。
586,in hot water,まずい状況,He’s in hot water.,まずい状況だ。
587,make a splash,注目を集める,It made a splash.,注目を集めた。
588,on the same wavelength,波長が合う,We’re on the same wavelength.,波長が合う。
589,play hardball,強硬姿勢,They played hardball.,強硬だった。
590,read the signs,兆候を見る,Read the signs.,兆候を読め。
591,save face,面目を保つ,He tried to save face.,面目を保とうとした。
592,straight to the point,要点直行,Straight to the point.,要点だけ言う。
593,take it or leave it,二者択一,Take it or leave it.,二者択一だ。
594,under wraps,非公開,Keep it under wraps.,非公開にして。
595,up to scratch,基準達成,It’s up to scratch.,基準達成だ。
596,wear thin,我慢の限界,My patience wore thin.,我慢の限界だった。
597,all over again,また一から,We start all over again.,また一からだ。
598,back in the game,復帰して,He’s back in the game.,彼は復帰した。
599,come in handy,役立つ,This will come in handy.,これは役立つ。
600,cut your losses,損切りする,Time to cut your losses.,損切り時だ。
